	F_Day_0_Abx_A	O_Day_0_Abx_A	F_Day_7_Abx_A	F_Day_3_Abx_A	O_Day_3_Abx_A	O_Day_7_Abx_A
ASV_9719	0	1342	0	0	0	0
ASV_9720	0	0	0	0	0	3
ASV_9721	0	212	7	0	0	7
ASV_9722	0	0	9	0	0	0
ASV_9724	0	0	0	0	0	2
ASV_9730	0	1242	0	0	0	0
ASV_9734	0	1170	0	0	0	0
ASV_9743	0	1013	0	0	0	0
ASV_9746	0	0	0	0	0	3
ASV_9750	803	0	0	0	0	0
ASV_9766	0	0	2	0	11	2
ASV_9774	0	659	0	0	0	0
ASV_9779	0	0	0	149	0	0
ASV_9796	0	0	0	0	0	2
ASV_98	82	0	0	48	0	0
ASV_9812	0	700	0	0	0	0
ASV_9817	0	0	0	28	0	0
ASV_9818	0	3	0	0	0	0
ASV_9820	0	642	0	0	0	0
ASV_9822	0	0	0	0	0	3
ASV_9824	0	586	0	0	0	0
ASV_983	0	0	0	79	0	0
ASV_9830	0	0	0	0	657	10
ASV_9831	0	0	0	108	131	0
ASV_985	8	0	5	2	0	0
ASV_9852	0	0	0	0	0	2
ASV_9864	0	0	0	18	0	2
ASV_9872	0	0	0	139	0	0
ASV_9902	0	463	0	0	0	0
ASV_9916	36	0	0	26	0	0
ASV_9918	0	232	0	0	0	0
ASV_9923	0	0	0	111	0	0
ASV_9937	0	400	0	0	0	0
ASV_9941	0	0	0	55	0	0
ASV_9949	0	353	0	0	0	0
ASV_9965	0	95	0	0	0	0
ASV_9985	0	0	0	0	2	0
ASV_9993	0	292	0	0	0	0
ASV_9994	0	0	0	259	0	0
ASV_9996	0	0	0	0	341	0
