	F_Day_0_Control_C	O_Day_0_Control_C	O_Day_7_Control_C	F_Day_3_Control_C	F_Day_7_Control_C	O_Day_3_Control_C
ASV_9742	0	0	1038	0	0	0
ASV_9745	0	0	292	0	0	0
ASV_9746	0	0	1031	0	0	0
ASV_9752	0	0	0	0	0	46
ASV_9756	0	30	852	0	0	0
ASV_9757	0	0	997	0	0	0
ASV_9758	0	0	974	0	0	0
ASV_9759	0	0	895	0	0	0
ASV_9760	0	0	0	0	0	38
ASV_9761	0	0	936	0	0	0
ASV_9763	0	0	912	0	0	0
ASV_9764	0	0	865	0	0	0
ASV_9766	0	0	0	0	0	17
ASV_9768	0	0	837	0	0	0
ASV_9774	0	0	231	0	0	0
ASV_9777	0	0	826	0	0	0
ASV_9780	0	0	0	0	0	50
ASV_9781	0	0	816	0	0	0
ASV_9789	0	0	847	0	0	0
ASV_9790	0	0	0	0	0	178
ASV_9796	0	0	532	0	0	10
ASV_9797	0	0	763	0	0	0
ASV_9798	0	0	751	0	0	0
ASV_98	0	0	0	5	0	234
ASV_9803	0	0	672	0	0	0
ASV_9805	0	34	0	0	0	0
ASV_9808	0	0	723	0	0	0
ASV_9815	0	0	699	0	0	0
ASV_9821	0	0	644	0	0	0
ASV_9822	0	0	548	0	0	2
ASV_983	0	67	0	0	0	0
ASV_9846	0	75	0	0	0	0
ASV_985	7	0	0	6	2	0
ASV_9851	0	13	0	0	0	0
ASV_9852	0	0	564	0	0	0
ASV_9864	0	0	491	0	0	0
ASV_9872	0	19	0	0	0	0
ASV_9874	0	0	125	0	0	0
ASV_9876	0	0	535	0	0	0
ASV_9882	0	0	502	0	0	0
ASV_9883	0	0	514	0	0	0
ASV_9889	0	0	482	0	0	0
ASV_9892	0	0	500	0	0	0
ASV_9894	0	0	462	0	0	0
ASV_9898	0	0	483	0	0	0
ASV_9903	0	0	477	0	0	0
ASV_9904	0	0	514	0	0	0
ASV_9912	0	0	461	0	0	0
ASV_9921	0	0	435	0	0	0
ASV_9936	0	0	0	0	0	172
ASV_9941	0	0	139	0	0	0
ASV_9943	0	0	383	0	0	0
ASV_9947	0	0	0	0	0	25
ASV_9953	0	0	0	0	0	59
ASV_9985	0	25	0	0	0	0
ASV_9997	0	0	0	0	0	66
